window_c,season,seep_do,air_temp,creek_depth,fp_depth
F1,Fall/Winter,1.9355764331210192,11.025501971489232,76.4679102214134,22.37572490142554
F2,Fall/Winter,2.9075247452692867,7.671729257641921,87.38042212518195,26.509569141193595
F3,Fall/Winter,3.2612382331643737,6.120573497465605,79.86609703113686,23.09705430847212
F4,Fall/Winter,5.372011258660508,6.771013279445728,101.15778002309469,36.18502598152425
F5,Fall/Winter,5.058559128929911,5.181090279780791,97.28402076723393,34.90514133256418
S1,Spring/Summer,5.35985182335744,4.683062009539929,79.01760270810894,20.955513155870133
S2,Spring/Summer,4.266896330275229,7.7062844036697244,74.83238532110092,19.318448012232416
S3,Spring/Summer,4.136114487415592,11.29986494782075,78.72965009208103,20.428980969920197
S4,Spring/Summer,2.6691162296243798,12.12508150248051,77.09177888022678,12.806498936924168
S5,Spring/Summer,2.0155043090181595,13.611231148045553,73.94021237303785,19.445987996306556
